date,amount,merchant,category,description
2024-08-04,-496.19,Savings Account,savings,Magazine decade sure produce
2024-08-05,-106.03,Verizon,Bills,Remember reveal conference
2024-08-06,-138.93,Utility Company,Bills,Large just several civil
2024-08-06,-61.98,Trader Joe's,Groceries,Rather occur meeting
2024-08-06,-114.85,Costco,Groceries,Series or star may
2024-08-06,-306.95,Savings Account,savings,Trial central
2024-08-06,-27.56,Starbucks,Food & Dining,Official test economy region
2024-08-07,-499.73,Savings Account,savings,Represent somebody support around
2024-08-08,-174.21,Savings Account,savings,Imagine notice time large
2024-08-08,-199.18,Internet Provider,Bills,Community happy owner process
2024-08-08,-36.10,Lyft,Transportation,Media main rate set
2024-08-08,-134.18,Dental Clinic,Health,Exist treat administration
2024-08-08,599.32,Freelance Client,Income,Payment from Freelance Client
2024-08-09,-1267.21,Mortgage Co.,Housing,Available turn sort
2024-08-09,-36.33,Costco,Groceries,Personal long reflect
2024-08-10,-23.19,Uber,Transportation,Traditional story
2024-08-10,-248.86,Amazon,Shopping,Sort religious watch
2024-08-10,-78.27,McDonald's,Food & Dining,Share increase state within child
2024-08-10,-62.13,Medical Center,Health,Central fact method program
2024-08-10,-20.67,Netflix,Entertainment,Ready worry church house its
2024-08-11,-149.13,Best Buy,Shopping,Politics national who school lead
2024-08-11,-65.29,Uber,Transportation,Fine purpose when
2024-08-11,-37.39,Subway,Food & Dining,Memory value day draw have
2024-08-12,-28.06,McDonald's,Food & Dining,Fill tough
2024-08-12,-30.54,Disney+,Entertainment,Take others might
2024-08-12,-72.04,Walgreens,Health,Them central mean run family
2024-08-13,-48.93,Local Restaurant,Food & Dining,Safe international he skin family
2024-08-13,-152.01,Verizon,Bills,Hope table call term
2024-08-13,-27.12,Subway,Food & Dining,Country identify
2024-08-13,-23.86,Uber,Transportation,Move item would
2024-08-14,-130.16,Trader Joe's,Groceries,Before reason goal clear
2024-08-15,571.43,Freelance Client,Income,Payment from Freelance Client
2024-08-15,-176.48,Water Corp,Bills,Lead impact occur again
2024-08-16,-126.24,Utility Company,Bills,Build head
2024-08-17,-1448.55,Mortgage Co.,Housing,It significant picture attorney wide
2024-08-17,-98.65,Trader Joe's,Groceries,Eye reflect financial
2024-08-17,-282.46,Savings Account,savings,Left network
2024-08-17,-41.00,Chipotle,Food & Dining,Dog on
2024-08-17,-112.17,Water Corp,Bills,Fight better fact development whose
2024-08-18,-184.30,Utility Company,Bills,Think strategy guess order
2024-08-18,-22.19,AMC Theaters,Entertainment,Those like also us
2024-08-19,-160.22,Walmart,Groceries,Fish pick individual go again
2024-08-19,-79.07,Water Corp,Bills,By may case
2024-08-19,-35.52,Starbucks,Food & Dining,Say push
2024-08-19,-81.33,Medical Center,Health,Source term tax manage
2024-08-20,-499.95,Savings Account,savings,Nor eight sound thus never
2024-08-21,-141.36,Verizon,Bills,Machine my
2024-08-22,862.67,Side Gig LLC,Income,Payment from Side Gig LLC
2024-08-22,-72.42,Walgreens,Health,Space human catch
2024-08-22,-135.70,Utility Company,Bills,History former senior
2024-08-22,-48.88,Medical Center,Health,Much quite threat
2024-08-23,-2485.08,Property Management,Housing,Too structure best
2024-08-24,-57.41,Starbucks,Food & Dining,Use want project same
2024-08-24,-100.46,Target,Shopping,Poor truth appear month likely
2024-08-24,-31.96,BP,Transportation,Different run well sometimes
2024-08-24,-94.14,Dental Clinic,Health,Before especially more himself drop
